iter	Passed	Remaining
0	0	847
1	1	720
2	2	665
3	2	635
4	3	615
5	3	606
6	4	603
7	4	597
8	5	590
9	5	585
10	6	576
11	6	573
12	7	568
13	8	566
14	8	558
15	9	556
16	9	554
17	10	551
18	10	547
19	11	543
20	11	540
21	12	536
22	12	537
23	13	534
24	13	531
25	14	530
26	14	528
27	15	525
28	15	523
29	16	520
30	16	518
31	17	516
32	17	515
33	18	514
34	18	513
35	19	510
36	19	508
37	20	507
38	20	505
39	20	503
40	21	503
41	22	503
42	22	502
43	23	500
44	23	499
45	24	497
46	24	496
47	24	495
48	25	495
49	26	494
50	26	493
51	27	492
52	27	492
53	28	493
54	28	493
55	29	493
56	29	493
57	30	493
58	30	493
59	31	494
60	32	494
61	32	494
62	33	493
63	33	493
64	34	493
65	34	493
66	35	492
67	35	488
68	36	488
69	36	487
70	37	487
71	37	487
72	38	486
73	38	485
74	39	485
75	39	484
76	40	484
77	40	483
78	41	483
79	42	483
80	42	482
81	43	482
82	43	481
83	44	481
84	44	479
85	45	478
86	45	476
87	45	476
88	46	476
89	47	476
90	47	475
91	48	474
92	48	474
93	49	475
94	49	475
95	50	475
96	51	475
97	51	474
98	52	473
99	52	473
100	53	472
101	53	469
102	53	469
103	54	468
104	54	467
105	55	467
106	55	466
107	56	465
108	56	464
109	57	464
110	57	463
111	58	463
112	58	462
113	59	461
114	59	460
115	60	459
116	60	458
117	61	458
118	61	456
119	62	455
120	62	455
121	63	454
122	63	452
123	63	451
124	64	450
125	64	449
126	65	449
127	65	447
128	66	446
129	66	445
130	67	444
131	67	444
132	68	443
133	68	442
134	69	442
135	69	441
136	70	441
137	70	439
138	70	439
139	71	438
140	71	437
141	72	437
142	72	436
143	73	436
144	73	435
145	74	434
146	74	433
147	75	432
148	75	432
149	76	431
150	76	431
151	77	430
152	77	429
153	78	429
154	78	428
155	79	428
156	79	427
157	80	426
158	80	426
159	81	425
160	81	425
161	82	424
162	82	423
163	83	423
164	83	422
165	84	422
166	84	422
167	85	422
168	85	422
169	86	422
170	87	422
171	87	422
172	88	422
173	88	422
174	89	421
175	90	421
176	90	420
177	91	420
178	91	420
179	92	419
180	92	417
181	92	417
182	93	416
183	93	416
184	94	416
185	95	416
186	95	415
187	96	415
188	96	415
189	97	414
190	97	414
191	98	413
192	98	413
193	99	412
194	99	412
195	100	411
196	100	411
197	101	410
198	101	410
199	102	409
200	102	408
201	103	408
202	103	407
203	104	407
204	105	407
205	105	406
206	106	406
207	106	405
208	107	405
209	107	404
210	108	404
211	108	403
212	109	403
213	109	402
214	110	402
215	110	401
216	111	400
217	111	400
218	112	399
219	112	399
220	113	398
221	113	398
222	114	397
223	114	397
224	115	397
225	115	396
226	116	395
227	116	395
228	117	394
229	117	394
230	118	393
231	118	392
232	119	392
233	119	392
234	120	391
235	120	391
236	121	391
237	122	390
238	122	390
239	123	390
240	123	390
241	124	390
242	125	389
243	125	389
244	126	388
245	126	388
246	127	387
247	127	386
248	128	386
249	128	385
250	129	385
251	129	384
252	130	383
253	130	383
254	131	382
255	131	382
256	132	381
257	132	381
258	133	380
259	133	380
260	134	379
261	134	379
262	135	378
263	135	378
264	136	377
265	136	377
266	137	377
267	137	376
268	138	376
269	138	375
270	139	375
271	139	374
272	140	374
273	140	373
274	141	373
275	142	372
276	142	372
277	143	371
278	143	371
279	144	370
280	144	370
281	145	369
282	145	369
283	146	368
284	146	368
285	147	367
286	147	367
287	148	366
288	148	366
289	149	365
290	149	365
291	150	364
292	151	364
293	151	363
294	152	363
295	152	363
296	153	362
297	153	362
298	154	361
299	154	360
300	155	360
301	155	359
302	156	359
303	156	358
304	157	358
305	157	357
306	158	357
307	158	356
308	159	356
309	159	355
310	160	355
311	160	354
312	161	354
313	161	353
314	162	352
315	162	352
316	163	351
317	163	351
318	164	350
319	164	350
320	165	349
321	165	348
322	166	348
323	166	347
324	167	347
325	167	346
326	168	345
327	168	345
328	169	345
329	169	344
330	170	343
331	170	343
332	171	342
333	171	342
334	172	341
335	172	341
336	173	341
337	173	340
338	174	340
339	174	339
340	175	339
341	176	338
342	176	338
343	177	337
344	177	337
345	178	336
346	178	336
347	179	335
348	179	335
349	180	334
350	180	334
351	181	333
352	181	333
353	182	332
354	182	331
355	183	331
356	183	330
357	184	330
358	184	329
359	185	329
360	185	328
361	186	327
362	186	327
363	187	327
364	187	326
365	188	326
366	188	325
367	189	325
368	189	324
369	190	324
370	190	323
371	191	323
372	191	322
373	192	321
374	192	321
375	193	320
376	193	320
377	194	319
378	194	319
379	195	318
380	195	317
381	196	317
382	196	316
383	197	316
384	197	315
385	198	315
386	198	314
387	199	314
388	199	313
389	200	313
390	200	312
391	201	312
392	201	311
393	202	310
394	202	310
395	203	309
396	203	309
397	204	308
398	204	308
399	205	307
400	205	307
401	206	306
402	206	306
403	207	305
404	207	304
405	208	304
406	208	304
407	209	303
408	209	303
409	210	302
410	210	301
411	211	301
412	211	301
413	212	300
414	213	300
415	213	299
416	214	299
417	214	298
418	215	298
419	215	298
420	216	297
421	216	297
422	217	296
423	218	296
424	218	295
425	219	295
426	219	294
427	220	294
428	220	293
429	221	292
430	221	292
431	222	291
432	222	291
433	222	290
434	223	290
435	223	289
436	224	289
437	225	288
438	225	288
439	226	287
440	226	287
441	227	286
442	227	286
443	227	285
444	228	284
445	228	284
446	229	283
447	229	283
448	230	282
449	230	282
450	231	281
451	231	281
452	232	280
453	232	280
454	233	279
455	233	279
456	234	278
457	234	277
458	235	277
459	235	276
460	236	276
461	236	275
462	237	275
463	237	274
464	238	274
465	238	273
466	239	273
467	239	272
468	240	271
469	240	271
470	241	270
471	241	270
472	242	269
473	242	269
474	243	269
475	243	268
476	244	268
477	244	267
478	245	266
479	245	266
480	246	265
481	246	265
482	247	264
483	248	264
484	248	264
485	249	263
486	249	263
487	250	262
488	250	262
489	251	261
490	251	261
491	252	260
492	252	260
493	253	259
494	253	259
495	254	258
496	254	258
497	255	257
498	255	256
499	256	256
500	256	255
501	257	255
502	257	254
503	258	254
504	258	253
505	259	253
506	259	252
507	260	252
508	260	251
509	261	251
510	261	250
511	262	250
512	262	249
513	263	249
514	263	248
515	264	247
516	264	247
517	265	246
518	265	246
519	266	245
520	266	245
521	267	244
522	267	244
523	268	243
524	268	243
525	269	242
526	269	242
527	270	241
528	270	240
529	271	240
530	271	239
531	272	239
532	272	238
533	273	238
534	273	237
535	273	237
536	274	236
537	274	236
538	275	235
539	275	235
540	276	234
541	276	233
542	277	233
543	277	232
544	278	232
545	278	231
546	279	231
547	279	230
548	280	230
549	280	229
550	281	229
551	281	228
552	282	228
553	282	227
554	283	227
555	283	226
556	284	226
557	284	225
558	285	225
559	285	224
560	286	224
561	286	223
562	287	223
563	288	222
564	288	222
565	289	221
566	289	221
567	290	220
568	290	220
569	291	219
570	291	219
571	292	218
572	292	218
573	293	217
574	293	216
575	294	216
576	294	215
577	295	215
578	295	214
579	296	214
580	296	213
581	297	213
582	297	212
583	298	212
584	298	211
585	299	211
586	299	210
587	300	210
588	300	209
589	301	209
590	301	208
591	302	208
592	302	207
593	302	207
594	303	206
595	303	205
596	304	205
597	304	204
598	305	204
599	305	203
600	306	203
601	306	202
602	307	202
603	307	201
604	308	201
605	308	200
606	309	200
607	309	199
608	310	199
609	310	198
610	311	198
611	311	197
612	312	197
613	312	196
614	313	196
615	313	195
616	314	195
617	314	194
618	315	194
619	315	193
620	316	193
621	316	192
622	317	192
623	317	191
624	318	190
625	318	190
626	319	189
627	319	189
628	320	188
629	320	188
630	321	187
631	321	187
632	322	186
633	322	186
634	323	185
635	323	185
636	324	184
637	324	184
638	325	183
639	325	183
640	326	182
641	326	182
642	327	181
643	327	181
644	328	180
645	328	180
646	329	179
647	329	179
648	330	178
649	330	178
650	331	177
651	331	177
652	332	176
653	332	176
654	333	175
655	334	175
656	334	174
657	335	174
658	335	173
659	336	173
660	336	172
661	336	172
662	337	171
663	337	171
664	338	170
665	338	169
666	339	169
667	339	168
668	340	168
669	340	167
670	341	167
671	341	166
672	342	166
673	343	165
674	343	165
675	344	165
676	344	164
677	345	164
678	346	163
679	346	163
680	347	162
681	347	162
682	348	161
683	348	161
684	349	160
685	349	160
686	350	159
687	350	159
688	351	158
689	352	158
690	353	158
691	354	157
692	354	157
693	355	156
694	356	156
695	357	156
696	357	155
697	358	155
698	358	154
699	359	154
700	360	153
701	360	153
702	361	152
703	362	152
704	362	151
705	363	151
706	363	150
707	364	150
708	364	149
709	365	149
710	366	148
711	366	148
712	367	147
713	367	147
714	368	146
715	368	146
716	369	145
717	369	145
718	370	144
719	371	144
720	371	143
721	372	143
722	372	142
723	373	142
724	373	141
725	374	141
726	374	140
727	375	140
728	375	139
729	376	139
730	376	138
731	377	138
732	378	137
733	378	137
734	379	136
735	379	136
736	380	135
737	380	135
738	381	134
739	381	134
740	382	133
741	382	133
742	383	132
743	383	132
744	384	131
745	384	131
746	385	130
747	385	130
748	386	129
749	386	128
750	387	128
751	387	127
752	388	127
753	388	126
754	389	126
755	389	125
756	390	125
757	390	124
758	391	124
759	391	123
760	392	123
761	393	122
762	393	122
763	394	121
764	394	121
765	395	120
766	396	120
767	396	119
768	397	119
769	397	118
770	398	118
771	398	117
772	399	117
773	399	116
774	400	116
775	401	115
776	401	115
777	402	114
778	402	114
779	403	113
780	404	113
781	405	112
782	405	112
783	406	111
784	406	111
785	407	110
786	408	110
787	408	109
788	409	109
789	409	108
790	410	108
791	410	107
792	411	107
793	411	106
794	412	106
795	412	105
796	413	105
797	413	104
798	414	104
799	414	103
800	415	103
801	415	102
802	416	102
803	416	101
804	417	101
805	417	100
806	418	100
807	418	99
808	419	98
809	419	98
810	420	97
811	420	97
812	421	96
813	421	96
814	422	95
815	422	95
816	423	94
817	423	94
818	424	93
819	424	93
820	425	92
821	425	92
822	426	91
823	426	91
824	427	90
825	428	90
826	428	89
827	429	89
828	429	88
829	430	88
830	430	87
831	431	87
832	431	86
833	432	86
834	432	85
835	433	85
836	434	84
837	434	84
838	435	83
839	435	82
840	436	82
841	436	81
842	437	81
843	437	80
844	438	80
845	438	79
846	439	79
847	440	78
848	440	78
849	441	77
850	441	77
851	442	76
852	442	76
853	443	75
854	443	75
855	444	74
856	444	74
857	445	73
858	445	73
859	446	72
860	446	72
861	447	71
862	447	71
863	448	70
864	449	70
865	449	69
866	450	69
867	451	68
868	451	68
869	452	67
870	452	67
871	453	66
872	454	66
873	454	65
874	455	65
875	456	64
876	456	64
877	457	63
878	458	63
879	458	62
880	459	62
881	460	61
882	460	61
883	461	60
884	461	60
885	462	59
886	463	59
887	463	58
888	464	58
889	465	57
890	465	57
891	466	56
892	467	56
893	467	55
894	468	54
895	469	54
896	469	53
897	470	53
898	471	52
899	471	52
900	472	51
901	473	51
902	473	50
903	474	50
904	475	49
905	475	49
906	476	48
907	477	48
908	477	47
909	478	47
910	479	46
911	479	46
912	480	45
913	480	45
914	481	44
915	482	44
916	482	43
917	483	43
918	484	42
919	484	42
920	485	41
921	486	41
922	486	40
923	487	40
924	488	39
925	488	39
926	489	38
927	490	38
928	490	37
929	491	36
930	492	36
931	492	35
932	493	35
933	494	34
934	494	34
935	495	33
936	495	33
937	496	32
938	497	32
939	497	31
940	498	31
941	499	30
942	499	30
943	500	29
944	501	29
945	501	28
946	502	28
947	503	27
948	503	27
949	504	26
950	504	26
951	505	25
952	505	24
953	506	24
954	507	23
955	507	23
956	508	22
957	508	22
958	509	21
959	509	21
960	510	20
961	511	20
962	511	19
963	512	19
964	513	18
965	513	18
966	514	17
967	515	17
968	515	16
969	516	15
970	517	15
971	517	14
972	518	14
973	519	13
974	519	13
975	520	12
976	520	12
977	521	11
978	522	11
979	522	10
980	523	10
981	523	9
982	524	9
983	525	8
984	525	8
985	526	7
986	526	6
987	527	6
988	527	5
989	528	5
990	529	4
991	529	4
992	530	3
993	531	3
994	531	2
995	532	2
996	532	1
997	533	1
998	534	0
999	534	0
